Name,Username,Email,Password
Roger Smith,rsmith,wigginsryan@yahoo.com,qwer
Michelle Beck,mlbeck,hcosta@hotmail.com,asdf
Ashley Barker,a_bark_x,a_bark_x@turner.com,zxcv
Lynn Gonzales,goodmanjames,lynniegonz@hotmail.com,oiuy
Jennifer Chase,chasej,jchase@ramirez.com,lkjh
Charles Hoover,choover,choover89@yahoo.com,.mn/
Adrian Evans,adevans,adevans98@yahoo.com,1234
Susan Walter,susan82,swilliams@yahoo.com,2345
Stephanie King,stephanieking,sking@morris-tyler.com,3456
Erika Miller,jessica32,ejmiller79@yahoo.com,7890
Daniel Barros,d.barros,d.barros@email.com,890-
